"cepa";"temperatura";"modelo";"AIC";"BIC";"R2";"K";"r";"nu";"Vmax"
"MA";"25";"Gompertz";-209,33;-200,39;0,9967;4,461;0,6366;NA;0,5585
"MA";"25";"Logistica";-345,38;-336,44;0,9995;4,414;0,9472;NA;0,5574
"MA";"25";"Richards";-377,5;-366,33;0,9997;4,393;1,0877;1,4531;0,5633
"MA";"25";"Baranyi";-343,31;-332,14;0,9995;4,414;0,9472;NA;0,5574
"MA";"32";"Gompertz";-217,44;-208,74;0,9973;4,51;0,5025;NA;0,425
"MA";"32";"Logistica";-375,3;-366,61;0,9998;4,449;0,7633;NA;0,4313
"MA";"32";"Richards";-404,47;-393,6;0,9999;4,427;0,847;1,3417;0,4345
"MA";"32";"Baranyi";-373,23;-362,36;0,9998;4,449;0,7633;NA;0,4313
"MA";"37";"Gompertz";-340,61;-331,92;0,9996;4,536;0,5366;NA;0,4412
"MA";"37";"Logistica";-326,86;-318,16;0,9995;4,402;0,7352;NA;0,4274
"MA";"37";"Richards";-403,32;-392,45;0,9998;4,495;0,6148;0,3564;0,4344
"MA";"37";"Baranyi";-324,78;-313,91;0,9995;4,402;0,7352;NA;0,4274
"TA050";"32";"Gompertz";-237,07;-229,34;0,9966;5,667;0,3432;NA;0,1398
"TA050";"32";"Logistica";-276,88;-269,16;0,9984;5,581;0,486;NA;0,1395
"TA050";"32";"Richards";-299,56;-289,9;0,999;5,378;0,6898;3,2955;0,1367
"TA050";"32";"Baranyi";-274,79;-265,13;0,9984;5,581;0,486;NA;0,1395
"TA050";"37";"Gompertz";-169,46;-161,89;0,9937;5,221;0,253;NA;0,1704
"TA050";"37";"Logistica";-204,31;-196,75;0,9969;5,163;0,4492;NA;0,1835
"TA050";"37";"Richards";-285,42;-275,96;0,9994;4,944;1,1415;5,9677;0,2004
"TA050";"37";"Baranyi";-201,76;-192,3;0,9969;5,17;0,4609;NA;0,1855
"TA050";"40";"Gompertz";-163,93;-155,98;0,9928;5,017;0,2273;NA;0,2025
"TA050";"40";"Logistica";-199,78;-191,82;0,9963;4,975;0,4602;NA;0,2238
"TA050";"40";"Richards";-312,64;-302,7;0,9996;4,821;1,4779;6,5493;0,2628
"TA050";"40";"Baranyi";-194,29;-184,35;0,9961;4,995;0,4967;NA;0,2303
