lote;fecha_fab;hora_control;punto_control;pH;temp
1;21-ene;21/01/2026 8:40;fermentos;6,83;4
1;21-ene;;cuba;;
1;21-ene;21/01/2026 11:30;cuba;6,67;32
1;21-ene;21/01/2026 12:50;cuba;6,6;38
1;21-ene;21/01/2026 14:05;moldeo;6,05;37
1;21-ene;21/01/2026 15:00;prensa;5,8;
1;21-ene;21/01/2026 17:15;cámara;5,3;
1;21-ene;22/01/2026 10:00;cámara;4,8;5
2;28-ene;28/01/2026 8:30;fermentos;6,81;
2;28-ene;28/01/2026 11:20;cuba;6,8;32
2;28-ene;28/01/2026 11:42;cuba;6,75;32
2;28-ene;28/01/2026 12:00;cuba;6,66;32
2;28-ene;28/01/2026 12:20;cuba;6,65;37
2;28-ene;28/01/2026 14:10;moldeo;6,3;37
2;28-ene;28/01/2026 14:30;moldeo;;
2;28-ene;28/01/2026 14:40;prensa;6,25;33,4
2;28-ene;28/01/2026 0:00;prensa;;
2;28-ene;28/01/2026 16:50;prensa;5,8;25
2;28-ene;28/01/2026 18:35;cámara;5,4;16
2;28-ene;29/01/2026 10:00;cámara;5,25;5
3;04-feb;04/02/2026 8:30;fermentos;6,78;
3;04-feb;04/02/2026 10:00;cuba;6,68;32
3;04-feb;04/02/2026 10:40;cuba;6,66;32,4
3;04-feb;04/02/2026 11:00;cuba;6,67;32
3;04-feb;04/02/2026 11:20;cuba;6,64;32
3;04-feb;04/02/2026 13:05;moldeo;6,51;32
3;04-feb;04/02/2026 13:30;moldeo;6,51;30
3;04-feb;04/02/2026 13:35;prensa;6,51;30
3;04-feb;04/02/2026 17:40;prensa;6,02;23,6
3;04-feb;04/02/2026 18:30;prensa;5,93;22
3;04-feb;04/02/2026 19:00;cámara;5,82;20
3;04-feb;05/02/2026 10:20;cámara;5,5;5
4;18-ene;18/01/2026 9:15;fermentos;6,78;27
4;18-ene;18/01/2026 10:05;cuba;6,68;36
4;18-ene;18/01/2026 10:10;cuba;6,75;34
4;18-ene;18/01/2026 11:35;cuba;6,63;32
4;18-ene;18/01/2026 12:00;moldeo;6,6;32
4;18-ene;18/01/2026 13:45;prensa;6,48;34,5
4;18-ene;18/01/2026 15:00;prensa;;
4;18-ene;18/01/2026 17:00;prensa;;
4;18-ene;18/01/2026 19:15;prensa;5,45;26
4;18-ene;18/01/2026 19:30;cámara;5,45;26
4;18-ene;19/01/2026 10:00;cámara;5,25;5
