hora;cepa;temperatura;pH
0,1221;TA050;32;6,6849
0,3982;TA050;32;6,6848
0,6743;TA050;32;6,6887
0,9503;TA050;32;6,6939
1,2264;TA050;32;6,7001
1,5025;TA050;32;6,7007
1,7786;TA050;32;6,7006
2,0546;TA050;32;6,7005
2,3307;TA050;32;6,6974
2,6068;TA050;32;6,6835
2,8829;TA050;32;6,6653
3,1589;TA050;32;6,6425
3,435;TA050;32;6,6277
3,7111;TA050;32;6,6138
3,9872;TA050;32;6,5996
4,2633;TA050;32;6,5968
4,5393;TA050;32;6,5893
4,8154;TA050;32;6,5746
5,0915;TA050;32;6,5589
5,3676;TA050;32;6,5371
5,6436;TA050;32;6,5091
5,9197;TA050;32;6,4936
6,1958;TA050;32;6,4737
6,4719;TA050;32;6,4409
6,7479;TA050;32;6,4002
7,024;TA050;32;6,3603
7,3001;TA050;32;6,3151
7,5762;TA050;32;6,2692
7,8523;TA050;32;6,2307
8,1283;TA050;32;6,1902
8,4044;TA050;32;6,1495
8,6805;TA050;32;6,1143
8,9984;TA050;32;6,0729
9,2326;TA050;32;6,0435
9,5087;TA050;32;6,0174
9,7848;TA050;32;5,9862
10,0609;TA050;32;5,9551
10,3369;TA050;32;5,9298
10,613;TA050;32;5,9036
10,8891;TA050;32;5,8748
11,1652;TA050;32;5,8497
11,4413;TA050;32;5,8238
11,7173;TA050;32;5,7947
11,9934;TA050;32;5,7773
12,2695;TA050;32;5,7526
12,5456;TA050;32;5,7284
12,8216;TA050;32;5,7085
13,0977;TA050;32;5,689
13,3738;TA050;32;5,6692
13,6499;TA050;32;5,6503
13,9259;TA050;32;5,6292
14,202;TA050;32;5,6106
14,4781;TA050;32;5,5934
14,7542;TA050;32;5,5771
15,0302;TA050;32;5,5618
15,3063;TA050;32;5,5436
15,5824;TA050;32;5,5262
15,8585;TA050;32;5,5134
16,1346;TA050;32;5,5004
16,4106;TA050;32;5,4866
16,6867;TA050;32;5,4736
16,9628;TA050;32;5,4592
17,2389;TA050;32;5,4462
17,5149;TA050;32;5,4259
17,791;TA050;32;5,4037
18,0671;TA050;32;5,388
18,3432;TA050;32;5,3706
18,6192;TA050;32;5,3549
18,8953;TA050;32;5,343
19,1714;TA050;32;5,3308
19,4475;TA050;32;5,3201
19,7236;TA050;32;5,3071
19,9996;TA050;32;5,2941
20,2757;TA050;32;5,2826
20,5518;TA050;32;5,2727
20,8279;TA050;32;5,2637
21,1039;TA050;32;5,2522
21,38;TA050;32;5,2423
21,6561;TA050;32;5,2335
21,9322;TA050;32;5,2253
22,2082;TA050;32;5,219
22,4843;TA050;32;5,2125
22,7604;TA050;32;5,2062
23,0365;TA050;32;5,1975
23,3126;TA050;32;5,1921
23,4757;TA050;32;5,1883
0,097;TA050;37;6,6275
0,5739;TA050;37;6,6228
0,7872;TA050;37;6,6228
1,7033;TA050;37;6,622
1,9793;TA050;37;6,596
2,2554;TA050;37;6,5628
2,5315;TA050;37;6,5364
2,8076;TA050;37;6,5068
3,0836;TA050;37;6,4754
3,3597;TA050;37;6,4353
3,6333;TA050;37;6,3883
3,9119;TA050;37;6,3482
4,188;TA050;37;6,3293
4,4515;TA050;37;6,2936
4,6648;TA050;37;6,2416
4,8656;TA050;37;6,1902
5,0915;TA050;37;6,1396
5,3299;TA050;37;6,0857
5,5558;TA050;37;6,0328
